Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
330017,86186380,8192,8192,0,79.203,3100.49,1000,0,0,0,0,0,0,0,12,1008,0,0,0,0,1370880,0,0,35.2624,170,0,0,0,0
330285,86186380,8192,8192,0,79.015,4956.53,1000,0,0,0,0,0,0,0,12,1248,0,0,0,0,1696716,0,0,50.6745,170,0,0,0,0
330510,86186380,8192,8192,0,80.455,3730.57,1000,0,0,0,0,0,0,0,12,1032,0,0,0,0,1403144,0,0,49.9715,170,0,0,0,0
330718,86186380,8192,8192,0,79.041,4051.96,1000,0,0,0,0,0,0,0,12,720,0,0,0,0,979200,0,0,37.6758,170,0,0,0,0
330940,86186380,8192,8192,0,78.905,4598.81,1000,0,0,0,0,0,0,0,12,1106,2,0,4,2,1504160,2522,0,54.1888,170,0,0,0,0
331201,86186380,8192,8192,0,79.335,4070.18,1000,0,0,0,0,0,0,0,12,1032,0,0,0,0,1403520,0,0,43.0366,170,0,0,0,0
331435,86186380,8192,8192,0,79.103,4105.27,1000,0,0,0,0,0,0,0,12,1344,0,0,0,0,1827652,0,0,62.298,170,0,0,0,0
331595,86186380,8192,8192,0,79.893,3937.5,1000,0,0,0,0,0,0,0,12,576,0,0,0,0,783360,0,0,39.3209,170,0,0,0,0
331845,86186380,8192,8192,0,79.086,3638.3,1000,0,0,0,0,0,0,0,12,1146,0,0,0,0,1558560,0,0,49.8863,170,0,0,0,0
332067,86186380,8192,8192,0,78.863,3512.2,1000,0,0,0,0,0,0,0,12,894,0,0,0,0,1215840,0,0,43.7756,170,0,0,0,0
332329,86186380,8192,8192,0,78.706,3402.07,1000,0,0,0,0,0,0,0,12,1104,0,0,0,0,1500312,0,0,45.8795,170,0,0,0,0
332543,86186380,8192,8192,0,78.815,3317.98,1000,0,0,0,0,0,0,0,12,1056,0,0,0,0,1436160,0,0,53.5319,170,0,0,0,0
332770,86186380,8192,8192,0,78.933,3829.79,1000,0,0,0,0,0,0,0,12,864,0,0,0,0,1175040,0,0,41.3932,170,0,0,0,0
333005,86186380,8192,8192,0,78.813,3354.84,1000,0,0,0,0,0,0,0,12,1008,0,0,0,0,1369752,0,0,46.631,170,0,0,0,0
333235,86186380,8192,8192,0,79.283,3542.87,1000,0,0,0,0,0,0,0,12,1032,0,0,0,0,1403332,0,0,48.9008,170,0,0,0,0
333468,86186380,8192,8192,0,78.913,4833.34,1000,0,0,0,0,0,0,0,12,1296,0,0,0,0,1761432,0,0,60.4776,170,0,0,0,0
333623,86186380,8192,8192,0,79.027,4717.25,1000,0,0,0,0,0,0,0,12,654,0,0,0,0,889440,0,0,45.7413,170,0,0,0,0
